
Benchmark started on 1/2/2017 16:18:17
Delta	Instant FPS	10-sec avg. FPS	Total avg. FPS
5	200	126.203	126.005
8	125	126.198	126.203
4	250	126.461	126.198
6	166.667	126.589	126.461
12	83.3333	126.316	126.589
6	166.667	126.443	126.316
6	166.667	126.569	126.443
6	166.667	126.694	126.569
17	58.8235	126.098	126.694
6	166.667	126.224	126.098
5	200	126.413	126.224
5	200	126.602	126.413
17	58.8235	126.016	126.602
13	76.9231	125.694	126.016
7	142.857	125.755	125.694
12	83.3333	125.5	125.755
15	66.6667	125.062	125.5
6	166.667	125.186	125.062
11	90.9091	125	125.186
16	62.5	124.512	125
6	166.667	124.635	124.512
11	90.9091	124.455	124.635
16	62.5	123.979	124.455
6	166.667	124.102	123.979
11	90.9091	123.928	124.102
6	166.667	124.049	123.928
5	200	124.229	124.049
4	250	124.468	124.229
6	166.667	124.587	124.468
4	250	124.823	124.587
6	166.667	124.941	124.823
5	200	125.117	124.941
5	200	125.292	125.117
5	200	125.466	125.292
6	166.667	125.581	125.466
5	200	125.754	125.581
5	200	125.926	125.754
5	200	126.097	125.926
6	166.667	126.209	126.097
5	200	126.379	126.209
5	200	126.547	126.379
6	166.667	126.658	126.547
10	100	126.536	126.658
6	166.667	126.645	126.536
12	83.3333	126.411	126.645
8	125	126.406	126.411
9	111.111	126.344	126.406
5	200	126.509	126.344
12	83.3333	126.278	126.509
8	125	126.274	126.278
5	200	126.437	126.274
5	200	126.599	126.437
4	250	126.816	126.599
5	200	126.977	126.816
5	200	127.137	126.977
18	55.5556	126.577	127.137
5	200	126.736	126.577
11	90.9091	126.566	126.736
17	58.8235	126.072	126.566
5	200	126.23	126.072
12	83.3333	126.011	126.23
6	166.667	126.115	126.011
5	200	126.271	126.115
5	200	126.427	126.271
5	200	126.582	126.427
5	200	126.737	126.582
5	200	126.891	126.737
5	200	127.044	126.891
16	62.5	126.614	127.044
6	166.667	126.714	126.614
8	125	126.708	126.714
5	200	126.86	126.708
11	90.9091	126.697	126.86
7	142.857	126.743	126.697
10	100	126.634	126.743
5	200	126.784	126.634
16	62.5	126.367	126.784
12	83.3333	126.159	126.367
6	166.667	126.257	126.159
16	62.5	125.849	126.257
12	83.3333	125.646	125.849
6	166.667	125.744	125.646
11	90.9091	125.592	125.744
16	62.5	125.196	125.592
6	166.667	125.294	125.196
16	62.5	124.903	125.294
6	166.667	125	124.903
5	200	125.145	125
5	200	125.29	125.145
5	200	125.434	125.29
5	200	125.578	125.434
5	200	125.721	125.578
5	200	125.863	125.721
5	200	126.005	125.863
5	200	126.147	126.005
5	200	126.288	126.147
7	142.857	126.332	126.288
4	250	126.52	126.332
6	166.667	126.611	126.52
5	200	126.75	126.611
5	200	126.888	126.75
6	166.667	126.978	126.888
12	83.3333	126.782	126.978
6	166.667	126.871	126.782
11	90.9091	126.724	126.871
6	166.667	126.813	126.724
9	111.111	126.761	126.813
6	166.667	126.849	126.761
11	90.9091	126.703	126.849
17	58.8235	126.281	126.703
6	166.667	126.37	126.281
12	83.3333	126.182	126.37
15	66.6667	125.859	126.182
6	166.667	125.947	125.859
16	62.5	125.583	125.947
6	166.667	125.671	125.583
4	250	125.849	125.671
6	166.667	125.936	125.849
5	200	126.068	125.936
6	166.667	126.155	126.068
5	200	126.286	126.155
5	200	126.416	126.286
5	200	126.546	126.416
5	200	126.676	126.546
6	166.667	126.761	126.676
6	166.667	126.845	126.761
5	200	126.973	126.845
5	200	127.101	126.973
7	142.857	127.139	127.101
6	166.667	127.222	127.139
7	142.857	127.26	127.222
5	200	127.386	127.26
6	166.667	127.468	127.386
15	66.6667	127.154	127.468
6	166.667	127.235	127.154
6	166.667	127.316	127.235
5	200	127.441	127.316
14	71.4286	127.174	127.441
6	166.667	127.254	127.174
5	200	127.378	127.254
6	166.667	127.458	127.378
5	200	127.58	127.458
5	200	127.703	127.58
6	166.667	127.782	127.703
14	71.4286	127.517	127.782
6	166.667	127.595	127.517
15	66.6667	127.291	127.595
6	166.667	127.369	127.291
6	166.667	127.448	127.369
7	142.857	127.483	127.448
5	200	127.603	127.483
7	142.857	127.639	127.603
15	66.6667	127.338	127.639
6	166.667	127.416	127.338
15	66.6667	127.119	127.416
7	142.857	127.154	127.119
7	142.857	127.19	127.154
6	166.667	127.267	127.19
6	166.667	127.343	127.267
6	166.667	127.419	127.343
6	166.667	127.495	127.419
7	142.857	127.53	127.495
5	200	127.646	127.53
5	200	127.762	127.646
6	166.667	127.836	127.762
5	200	127.951	127.836
14	71.4286	127.7	127.951
6	166.667	127.774	127.7
10	100	127.686	127.774
5	200	127.801	127.686
16	62.5	127.473	127.801
14	71.4286	127.227	127.473
5	200	127.341	127.227
17	58.8235	126.979	127.341
5	200	127.092	126.979
5	200	127.205	127.092
5	200	127.318	127.205
5	200	127.43	127.318
6	166.667	127.502	127.43
18	55.5556	127.106	127.502
6	166.667	127.178	127.106
16	62.5	126.863	127.178
6	166.667	126.936	126.863
5	200	127.047	126.936
5	200	127.157	127.047
5	200	127.267	127.157
5	200	127.377	127.267
5	200	127.486	127.377
15	66.6667	127.213	127.486
6	166.667	127.284	127.213
9	111.111	127.24	127.284
5	200	127.349	127.24
16	62.5	127.041	127.349
13	76.9231	126.848	127.041
6	166.667	126.919	126.848
15	66.6667	126.653	126.919
13	76.9231	126.464	126.653
5	200	126.571	126.464
16	62.5	126.273	126.571
11	90.9091	126.16	126.273
7	142.857	126.194	126.16
12	83.3333	126.046	126.194
15	66.6667	125.79	126.046
