
Benchmark started on 1/2/2017 11:57:54
Delta	Instant FPS	10-sec avg. FPS	Total avg. FPS
3	333.333	162.162	161.806
3	333.333	162.517	162.162
4	250	162.759	162.517
3	333.333	163.111	162.759
3	333.333	163.462	163.111
12	83.3333	162.807	163.462
3	333.333	163.154	162.807
14	71.4286	162.29	163.154
5	200	162.416	162.29
4	250	162.651	162.416
3	333.333	162.993	162.651
3	333.333	163.333	162.993
4	250	163.564	163.333
2	500	164.011	163.564
4	250	164.238	164.011
3	333.333	164.574	164.238
3	333.333	164.908	164.574
3	333.333	165.24	164.908
4	250	165.463	165.24
3	333.333	165.793	165.463
3	333.333	166.122	165.793
4	250	166.341	166.122
5	200	166.45	166.341
3	333.333	166.775	166.45
3	333.333	167.098	166.775
3	333.333	167.421	167.098
4	250	167.634	167.421
3	333.333	167.954	167.634
3	333.333	168.272	167.954
4	250	168.482	168.272
4	250	168.69	168.482
4	250	168.897	168.69
3	333.333	169.211	168.897
3	333.333	169.524	169.211
4	250	169.728	169.524
3	333.333	170.038	169.728
5	200	170.132	170.038
3	333.333	170.44	170.132
3	333.333	170.747	170.44
4	250	170.946	170.747
5	200	171.036	170.946
4	250	171.233	171.036
3	333.333	171.535	171.233
5	200	171.623	171.535
3	333.333	171.923	171.623
4	250	172.116	171.923
4	250	172.308	172.116
4	250	172.498	172.308
3	333.333	172.794	172.498
3	333.333	173.089	172.794
4	250	173.276	173.089
3	333.333	173.569	173.276
10	100	173.123	173.569
4	250	173.309	173.123
12	83.3333	172.662	173.309
4	250	172.847	172.662
12	83.3333	172.209	172.847
4	250	172.393	172.209
14	71.4286	171.563	172.393
3	333.333	171.848	171.563
4	250	172.03	171.848
4	250	172.212	172.03
4	250	172.394	172.212
3	333.333	172.674	172.394
3	333.333	172.954	172.674
4	250	173.133	172.954
3	333.333	173.41	173.133
3	333.333	173.687	173.41
3	333.333	173.963	173.687
5	200	174.038	173.963
3	333.333	174.312	174.038
19	52.6316	173.001	174.312
3	333.333	173.273	173.001
8	125	173.055	173.273
3	333.333	173.326	173.055
18	55.5556	172.145	173.326
4	250	172.318	172.145
3	333.333	172.586	172.318
3	333.333	172.853	172.586
13	76.9231	172.167	172.853
3	333.333	172.433	172.167
4	250	172.603	172.433
3	333.333	172.867	172.603
3	333.333	173.129	172.867
3	333.333	173.391	173.129
3	333.333	173.653	173.391
3	333.333	173.913	173.653
3	333.333	174.173	173.913
4	250	174.337	174.173
3	333.333	174.595	174.337
3	333.333	174.852	174.595
2	500	175.202	174.852
4	250	175.363	175.202
3	333.333	175.618	175.363
6	166.667	175.589	175.618
3	333.333	175.842	175.589
18	55.5556	174.696	175.842
3	333.333	174.947	174.696
5	200	175.013	174.947
3	333.333	175.263	175.013
3	333.333	175.512	175.263
4	250	175.669	175.512
4	250	175.824	175.669
3	333.333	176.071	175.824
3	333.333	176.317	176.071
3	333.333	176.562	176.317
3	333.333	176.807	176.562
3	333.333	177.051	176.807
3	333.333	177.294	177.051
3	333.333	177.536	177.294
3	333.333	177.778	177.536
3	333.333	178.019	177.778
3	333.333	178.259	178.019
3	333.333	178.498	178.259
4	250	178.645	178.498
3	333.333	178.883	178.645
3	333.333	179.12	178.883
5	200	179.173	179.12
3	333.333	179.409	179.173
3	333.333	179.644	179.409
4	250	179.787	179.644
3	333.333	180.02	179.787
3	333.333	180.253	180.02
4	250	180.394	180.253
3	333.333	180.626	180.394
3	333.333	180.856	180.626
5	200	180.905	180.856
3	333.333	181.134	180.905
3	333.333	181.363	181.134
4	250	181.5	181.363
3	333.333	181.727	181.5
4	250	181.863	181.727
3	333.333	182.09	181.863
3	333.333	182.315	182.09
4	250	182.449	182.315
3	333.333	182.673	182.449
3	333.333	182.897	182.673
4	250	183.029	182.897
3	333.333	183.251	183.029
3	333.333	183.473	183.251
4	250	183.603	183.473
3	333.333	183.824	183.603
3	333.333	184.043	183.824
3	333.333	184.262	184.043
5	200	184.3	184.262
3	333.333	184.518	184.3
3	333.333	184.735	184.518
3	333.333	184.951	184.735
3	333.333	185.167	184.951
3	333.333	185.382	185.167
3	333.333	185.597	185.382
4	250	185.721	185.597
4	250	185.845	185.721
4	250	185.968	185.845
3	333.333	186.18	185.968
3	333.333	186.392	186.18
18	55.5556	185.273	186.392
4	250	185.396	185.273
3	333.333	185.606	185.396
7	142.857	185.465	185.606
3	333.333	185.674	185.465
14	71.4286	184.925	185.674
3	333.333	185.133	184.925
4	250	185.254	185.133
10	100	184.858	185.254
3	333.333	185.065	184.858
13	76.9231	184.417	185.065
4	250	184.538	184.417
3	333.333	184.743	184.538
4	250	184.862	184.743
3	333.333	185.066	184.862
3	333.333	185.27	185.066
4	250	185.388	185.27
3	333.333	185.591	185.388
4	250	185.708	185.591
3	333.333	185.909	185.708
3	333.333	186.11	185.909
4	250	186.226	186.11
4	250	186.341	186.226
2	500	186.624	186.341
3	333.333	186.823	186.624
3	333.333	187.021	186.823
3	333.333	187.219	187.021
4	250	187.332	187.219
3	333.333	187.528	187.332
3	333.333	187.724	187.528
3	333.333	187.919	187.724
8	125	187.695	187.919
3	333.333	187.89	187.695
13	76.9231	187.251	187.89
4	250	187.362	187.251
3	333.333	187.555	187.362
5	200	187.583	187.555
3	333.333	187.775	187.583
4	250	187.884	187.775
3	333.333	188.075	187.884
3	333.333	188.266	188.075
3	333.333	188.456	188.266
3	333.333	188.646	188.456
4	250	188.753	188.646
3	333.333	188.942	188.753
3	333.333	189.13	188.942
9	111.111	188.826	189.13
4	250	188.932	188.826
13	76.9231	188.306	188.932
3	333.333	188.493	188.306
5	200	188.518	188.493
3	333.333	188.703	188.518
4	250	188.808	188.703
3	333.333	188.993	188.808
3	333.333	189.178	188.993
4	250	189.281	189.178
3	333.333	189.465	189.281
4	250	189.567	189.465
3	333.333	189.75	189.567
4	250	189.852	189.75
4	250	189.954	189.852
3	333.333	190.135	189.954
3	333.333	190.316	190.135
4	250	190.416	190.316
3	333.333	190.596	190.416
4	250	190.696	190.596
3	333.333	190.875	190.696
3	333.333	191.054	190.875
4	250	191.152	191.054
4	250	191.25	191.152
4	250	191.348	191.25
4	250	191.445	191.348
3	333.333	191.622	191.445
3	333.333	191.798	191.622
3	333.333	191.974	191.798
4	250	192.069	191.974
3	333.333	192.244	192.069
3	333.333	192.419	192.244
4	250	192.513	192.419
3	333.333	192.687	192.513
3	333.333	192.86	192.687
3	333.333	193.033	192.86
4	250	193.126	193.033
3	333.333	193.298	193.126
3	333.333	193.469	193.298
4	250	193.562	193.469
3	333.333	193.732	193.562
3	333.333	193.902	193.732
4	250	193.994	193.902
3	333.333	194.163	193.994
3	333.333	194.332	194.163
3	333.333	194.501	194.332
3	333.333	194.669	194.501
4	250	194.758	194.669
3	333.333	194.925	194.758
3	333.333	195.093	194.925
8	125	194.868	195.093
3	333.333	195.034	194.868
14	71.4286	194.345	195.034
3	333.333	194.511	194.345
4	250	194.599	194.511
8	125	194.378	194.599
4	250	194.466	194.378
18	55.5556	193.485	194.466
4	250	193.574	193.485
4	250	193.662	193.574
4	250	193.75	193.662
3	333.333	193.913	193.75
3	333.333	194.076	193.913
4	250	194.163	194.076
3	333.333	194.326	194.163
4	250	194.412	194.326
3	333.333	194.574	194.412
5	200	194.584	194.574
3	333.333	194.745	194.584
4	250	194.83	194.745
3	333.333	194.99	194.83
4	250	195.075	194.99
3	333.333	195.234	195.075
3	333.333	195.393	195.234
3	333.333	195.552	195.393
4	250	195.636	195.552
4	250	195.719	195.636
2	500	195.951	195.719
4	250	196.034	195.951
3	333.333	196.19	196.034
3	333.333	196.347	196.19
3	333.333	196.503	196.347
3	333.333	196.659	196.503
3	333.333	196.815	196.659
3	333.333	196.97	196.815
4	250	197.05	196.97
8	125	196.833	197.05
4	250	196.913	196.833
13	76.9231	196.328	196.913
4	250	196.409	196.328
5	200	196.415	196.409
3	333.333	196.568	196.415
3	333.333	196.721	196.568
3	333.333	196.874	196.721
4	250	196.953	196.874
2	500	197.178	196.953
4	250	197.256	197.178
3	333.333	197.407	197.256
3	333.333	197.558	197.407
3	333.333	197.709	197.558
4	250	197.786	197.709
4	250	197.863	197.786
13	76.9231	197.286	197.863
4	250	197.364	197.286
4	250	197.441	197.364
3	333.333	197.589	197.441
7	142.857	197.45	197.589
4	250	197.526	197.45
13	76.9231	196.959	197.526
4	250	197.035	196.959
4	250	197.112	197.035
4	250	197.188	197.112
3	333.333	197.335	197.188
4	250	197.411	197.335
3	333.333	197.557	197.411
4	250	197.633	197.557
2	500	197.849	197.633
4	250	197.924	197.849
4	250	197.999	197.924
3	333.333	198.144	197.999
3	333.333	198.288	198.144
18	55.5556	197.378	198.288
4	250	197.452	197.378
4	250	197.527	197.452
3	333.333	197.67	197.527
3	333.333	197.814	197.67
4	250	197.887	197.814
3	333.333	198.03	197.887
3	333.333	198.173	198.03
4	250	198.246	198.173
3	333.333	198.388	198.246
3	333.333	198.529	198.388
4	250	198.601	198.529
3	333.333	198.743	198.601
5	200	198.745	198.743
3	333.333	198.885	198.745
14	71.4286	198.267	198.885
4	250	198.339	198.267
4	250	198.41	198.339
4	250	198.481	198.41
3	333.333	198.621	198.481
5	200	198.623	198.621
4	250	198.694	198.623
3	333.333	198.832	198.694
3	333.333	198.971	198.832
3	333.333	199.109	198.971
3	333.333	199.247	199.109
4	250	199.316	199.247
3	333.333	199.454	199.316
3	333.333	199.591	199.454
17	58.8235	198.779	199.591
4	250	198.848	198.779
3	333.333	198.985	198.848
5	200	198.986	198.985
3	333.333	199.123	198.986
4	250	199.191	199.123
3	333.333	199.327	199.191
3	333.333	199.462	199.327
4	250	199.53	199.462
3	333.333	199.664	199.53
3	333.333	199.799	199.664
4	250	199.866	199.799
4	250	199.933	199.866
3	333.333	200.067	199.933
3	333.333	200.2	200.067
3	333.333	200.333	200.2
4	250	200.399	200.333
4	250	200.465	200.399
3	333.333	200.598	200.465
3	333.333	200.73	200.598
3	333.333	200.862	200.73
3	333.333	200.993	200.862
4	250	201.058	200.993
3	333.333	201.189	201.058
3	333.333	201.32	201.189
3	333.333	201.451	201.32
4	250	201.515	201.451
4	250	201.578	201.515
2	500	201.775	201.578
4	250	201.838	201.775
3	333.333	201.967	201.838
11	90.9091	201.568	201.967
4	250	201.631	201.568
13	76.9231	201.105	201.631
5	200	201.103	201.105
4	250	201.166	201.103
4	250	201.229	201.166
4	250	201.292	201.229
3	333.333	201.42	201.292
3	333.333	201.548	201.42
4	250	201.61	201.548
4	250	201.673	201.61
3	333.333	201.799	201.673
6	166.667	201.732	201.799
4	250	201.794	201.732
14	71.4286	201.212	201.794
4	250	201.274	201.212
4	250	201.336	201.274
3	333.333	201.462	201.336
3	333.333	201.587	201.462
3	333.333	201.713	201.587
5	200	201.71	201.713
4	250	201.771	201.71
3	333.333	201.896	201.771
4	250	201.956	201.896
4	250	202.017	201.956
5	200	202.014	202.017
5	200	202.011	202.014
13	76.9231	201.502	202.011
4	250	201.562	201.502
3	333.333	201.686	201.562
5	200	201.683	201.686
3	333.333	201.806	201.683
4	250	201.866	201.806
3	333.333	201.989	201.866
4	250	202.048	201.989
3	333.333	202.171	202.048
4	250	202.23	202.171
3	333.333	202.351	202.23
4	250	202.41	202.351
9	111.111	202.157	202.41
4	250	202.216	202.157
13	76.9231	201.717	202.216
4	250	201.776	201.717
13	76.9231	201.281	201.776
5	200	201.279	201.281
13	76.9231	200.789	201.279
4	250	200.848	200.789
3	333.333	200.969	200.848
14	71.4286	200.422	200.969
4	250	200.482	200.422
3	333.333	200.602	200.482
4	250	200.661	200.602
6	166.667	200.6	200.661
4	250	200.659	200.6
13	76.9231	200.179	200.659
4	250	200.238	200.179
3	333.333	200.357	200.238
9	111.111	200.119	200.357
5	200	200.119	200.119
13	76.9231	199.646	200.119
4	250	199.705	199.646
6	166.667	199.647	199.705
3	333.333	199.765	199.647
14	71.4286	199.238	199.765
5	200	199.239	199.238
3	333.333	199.357	199.239
8	125	199.183	199.357
3	333.333	199.301	199.183
13	76.9231	198.839	199.301
5	200	198.841	198.839
4	250	198.9	198.841
3	333.333	199.016	198.9
3	333.333	199.133	199.016
3	333.333	199.249	199.133
3	333.333	199.365	199.249
4	250	199.424	199.365
5	200	199.424	199.424
3	333.333	199.54	199.424
3	333.333	199.655	199.54
3	333.333	199.77	199.655
12	83.3333	199.371	199.77
3	333.333	199.486	199.371
13	76.9231	199.032	199.486
6	166.667	198.977	199.032
5	200	198.978	198.977
13	76.9231	198.529	198.978
4	250	198.588	198.529
3	333.333	198.702	198.588
5	200	198.703	198.702
3	333.333	198.817	198.703
4	250	198.875	198.817
4	250	198.932	198.875
3	333.333	199.045	198.932
3	333.333	199.158	199.045
3	333.333	199.271	199.158
4	250	199.328	199.271
4	250	199.385	199.328
3	333.333	199.497	199.385
3	333.333	199.609	199.497
18	55.5556	198.889	199.609
4	250	198.946	198.889
4	250	199.002	198.946
5	200	199.004	199.002
3	333.333	199.115	199.004
13	76.9231	198.677	199.115
4	250	198.734	198.677
4	250	198.79	198.734
4	250	198.846	198.79
4	250	198.903	198.846
3	333.333	199.013	198.903
4	250	199.069	199.013
4	250	199.125	199.069
4	250	199.18	199.125
3	333.333	199.29	199.18
3	333.333	199.4	199.29
3	333.333	199.509	199.4
11	90.9091	199.185	199.509
4	250	199.24	199.185
14	71.4286	198.756	199.24
4	250	198.811	198.756
4	250	198.867	198.811
4	250	198.922	198.867
4	250	198.977	198.922
3	333.333	199.085	198.977
3	333.333	199.194	199.085
3	333.333	199.302	199.194
4	250	199.356	199.302
4	250	199.41	199.356
3	333.333	199.518	199.41
4	250	199.572	199.518
18	55.5556	198.882	199.572
5	200	198.883	198.882
3	333.333	198.99	198.883
3	333.333	199.097	198.99
3	333.333	199.204	199.097
3	333.333	199.311	199.204
4	250	199.365	199.311
3	333.333	199.471	199.365
3	333.333	199.577	199.471
3	333.333	199.683	199.577
4	250	199.736	199.683
3	333.333	199.842	199.736
4	250	199.895	199.842
2	500	200.053	199.895
14	71.4286	199.58	200.053
4	250	199.633	199.58
4	250	199.686	199.633
4	250	199.739	199.686
5	200	199.739	199.739
4	250	199.791	199.739
13	76.9231	199.376	199.791
4	250	199.429	199.376
4	250	199.481	199.429
8	125	199.327	199.481
4	250	199.379	199.327
13	76.9231	198.969	199.379
5	200	198.97	198.969
11	90.9091	198.665	198.97
4	250	198.718	198.665
14	71.4286	198.263	198.718
5	200	198.265	198.263
3	333.333	198.368	198.265
3	333.333	198.471	198.368
3	333.333	198.574	198.471
4	250	198.627	198.574
3	333.333	198.729	198.627
3	333.333	198.832	198.729
2	500	198.985	198.832
3	333.333	199.087	198.985
4	250	199.139	199.087
5	200	199.14	199.139
4	250	199.191	199.14
13	76.9231	198.791	199.191
4	250	198.842	198.791
3	333.333	198.944	198.842
3	333.333	199.045	198.944
5	200	199.046	199.045
4	250	199.097	199.046
17	58.8235	198.502	199.097
5	200	198.504	198.502
4	250	198.555	198.504
3	333.333	198.656	198.555
13	76.9231	198.263	198.656
5	200	198.265	198.263
3	333.333	198.366	198.265
3	333.333	198.466	198.366
3	333.333	198.566	198.466
3	333.333	198.666	198.566
3	333.333	198.765	198.666
4	250	198.816	198.765
3	333.333	198.915	198.816
4	250	198.966	198.915
3	333.333	199.065	198.966
3	333.333	199.164	199.065
3	333.333	199.263	199.164
5	200	199.264	199.263
4	250	199.314	199.264
2	500	199.461	199.314
